ააგო	ɑ ɑ ɡ ɔ
ორგანო	ɔ r ɡ ɑ n ɔ
ორგანულად	ɔ r ɡ ɑ n u l ɑ d
ორგანული	ɔ r ɡ ɑ n u l i
ორთქლი	ɔ r tʰ kʰ l i
ორიანი	ɔ r ɪ ɑ n ɪ
ორიგინალი	ɔ r i ɡ i n ɑ l i
ორიენტაცია	ɔ r ɪ ɛ n tʼ ɑ t s ɪ ɑ
ორივე	ɔ r i v ɛ
ორკესტრი	ɔ r kʼ ɛ s tʼ r ɪ
ორმაგად	ɔ r m ɑ ɡ ɑ d
ორმო	ɔ r m ɔ
ორმხრივი	ɔ r m χ r ɪ v ɪ
ორპალატიანი	ɔ r pʼ ɑ l ɑ tʼ ɪ ɑ n ɪ
ოსეთი	ɔ s ɛ tʰ i
ოსი	ɔ s i
ოსტატობა	ɔ s tʼ ɑ tʼ ɔ b ɑ
ოფიცერი	ɔ pʰ ɪ t s ɛ r ɪ
ოფიციალური	ɔ pʰ i t s i ɑ l u r i
ოფლი	ɔ pʰ l i
ოქროს	ɔ kʰ r ɔ s
ოქტეტი	ɔ kʰ tʼ ɛ tʼ ɪ
ოღონდ	ɔ ɣ ɔ n d
ოცდახუთი	ɔ t s d ɑ x u tʰ i
ოცი	ɔ t s i
ოცნება	ɔ t s n ɛ b ɑ
ოჯახი	ɔ d ʒ ɑ x i
ოჯახური	ɔ d ʒ ɑ χ u r ɪ
ოჯახში	ɔ d ʒ ɑ χ ʃ ɪ
პაემანი	pʼ ɑ ɛ m ɑ n ɪ
პავლე	pʼ ɑ v l ɛ
პათოსი	pʼ ɑ tʰ ɔ s ɪ
პალატა	pʼ ɑ l ɑ tʼ ɑ
პალერმო	pʼ ɑ l ɛ r m ɔ
პალიტრა	pʼ ɑ l ɪ tʼ r ɑ
პალტო	pʼ ɑ l tʼ ɔ
პანორამული	pʼ ɑ n ɔ r ɑ m u l ɪ
პაპა	pʼ ɑ pʼ ɑ
პაპი	pʼ ɑ pʼ i
პარაზიტი	pʼ ɑ r ɑ z ɪ tʼ ɪ
პარალელური	pʼ ɑ r ɑ l ɛ l u r i
პარამეტრი	pʼ ɑ r ɑ m ɛ tʼ r ɪ
პარლამენტარი	pʼ ɑ r l ɑ m ɛ n tʼ ɑ r ɪ
პარლამენტი	pʼ ɑ r l ɑ m ɛ n tʼ ɪ
პარტია	pʼ ɑ r tʼ ɪ ɑ
პარტიად	pʼ ɑ r tʼ ɪ ɑ d
პარტიამ	pʼ ɑ r tʼ ɪ ɑ m
პარტიას	pʼ ɑ r tʼ ɪ ɑ s
პარტიზანული	pʼ ɑ r tʼ ɪ z ɑ n u l ɪ
პარტიის	pʼ ɑ r tʼ ɪ ɪ s
პარტნიორობა	pʼ ɑ r tʼ n i ɔ r ɔ b ɑ
პასიური	pʼ ɑ s i u r i
პასუხი	pʼ ɑ s u x i
პასუხისმგებელი	pʼ ɑ s u x i s m ɡ ɛ b ɛ l i
პასუხისმგებლობა	pʼ ɑ s u x i s m ɡ ɛ b l ɔ b ɑ
პასუხისმგებლობით	pʼ ɑ s u χ ɪ s m ɡ ɛ b l ɔ b ɪ tʰ
პასუხობს	pʼ ɑ s u x ɔ b s
პატარა	pʼ ɑ tʼ ɑ r ɑ
პატივი	pʼ ɑ tʼ i v i
პატივისცემა	pʼ ɑ tʼ ɪ v ɪ s t s ɛ m ɑ
პატივისცემით	pʼ ɑ tʼ ɪ v ɪ s t s ɛ m ɪ tʰ
პატივსაცემად	pʼ ɑ tʼ ɪ v s ɑ t s ɛ m ɑ d
პატივცემული	pʼ ɑ tʼ ɪ v t s ɛ m u l ɪ
პატიმრობა	pʼ ɑ tʼ ɪ m r ɔ b ɑ
პატიოსანი	pʼ ɑ tʼ i ɔ s ɑ n i
პატრიოტი	pʼ ɑ tʼ r ɪ ɔ tʼ ɪ
პატრიოტიზმი	pʼ ɑ tʼ r ɪ ɔ tʼ ɪ z m ɪ
პატრიცია	pʼ ɑ tʼ r ɪ t s ɪ ɑ
პატრონი	pʼ ɑ tʼ r ɔ n i
პატრული	pʼ ɑ tʼ r u l ɪ
პაციენტი	pʼ ɑ t s ɪ ɛ n tʼ ɪ
პედაგოგი	pʼ ɛ d ɑ ɡ ɔ ɡ ɪ
პედაგოგიური	pʼ ɛ d ɑ ɡ ɔ ɡ i u r i
პენი	pʼ ɛ n ɪ
პენსია	pʼ ɛ n s i ɑ
პენსიონერი	pʼ ɛ n s ɪ ɔ n ɛ r ɪ
პეპელა	pʼ ɛ pʼ ɛ l ɑ
პერანგი	pʼ ɛ r ɑ n ɡ i
პერიმეტრი	pʼ ɛ r ɪ m ɛ tʼ r ɪ
პერიოდით	pʼ ɛ r ɪ ɔ d ɪ tʰ
პერიოდის	pʼ ɛ r ɪ ɔ d ɪ s
პერიოდს	pʼ ɛ r ɪ ɔ d s
პერიოდული	pʼ ɛ r i ɔ d u l i
პერიფერიული	pʼ ɛ r ɪ pʰ ɛ r ɪ u l ɪ
პერსონა	pʼ ɛ r s ɔ n ɑ
პერსპექტივა	pʼ ɛ r s pʼ ɛ kʰ tʼ ɪ v ɑ
პეტიცია	pʼ ɛ tʼ ɪ t s ɪ ɑ
პიანისტი	pʼ ɪ ɑ n ɪ s tʼ ɪ
პიარი	pʼ ɪ ɑ r ɪ
პიკი	pʼ ɪ kʼ ɪ
პილოტი	pʼ ɪ l ɔ tʼ ɪ
პილოტური	pʼ ɪ l ɔ tʼ u r ɪ
პირად	pʼ ɪ r ɑ d
პირადად	pʼ i r ɑ d ɑ d
პირადი	pʼ i r ɑ d i
პირდაპირ	pʼ ɪ r d ɑ pʼ ɪ r
პირდაპირი	pʼ i r d ɑ pʼ i r i
პირველი	pʼ i r v ɛ l i
პირველობა	pʼ i r v ɛ l ɔ b ɑ
პირველყოფილი	pʼ ɪ r v ɛ l qʼ ɔ pʰ ɪ l ɪ
პირის	pʼ ɪ r ɪ s
პირისპირ	pʼ ɪ r ɪ s pʼ ɪ r
პირიქით	pʼ ɪ r ɪ kʰ ɪ tʰ
პირობა	pʼ i r ɔ b ɑ
პირობითად	pʼ ɪ r ɔ b ɪ tʰ ɑ d
პირობითი	pʼ i r ɔ b i tʰ i
პიროტექნიკა	pʼ ɪ r ɔ tʼ ɛ kʰ n ɪ kʼ ɑ
პირს	pʼ ɪ r s
პისტოლეტი	pʼ i s tʼ ɔ l ɛ tʼ i
პლანეტა	pʼ l ɑ n ɛ tʼ ɑ
პლატფორმა	pʼ l ɑ tʼ pʰ ɔ r m ɑ
პლაცდარმი	pʼ l ɑ t s d ɑ r m ɪ
პლენარული	pʼ l ɛ n ɑ r u l ɪ
პლუსი	pʼ l u s ɪ
პოეზია	pʼ ɔ ɛ z ɪ ɑ
პოეტი	pʼ ɔ ɛ tʼ ɪ
პოვნა	pʼ ɔ v n ɑ
პოზიტივი	pʼ ɔ z ɪ tʼ ɪ v ɪ
პოზიტივისტი	pʼ ɔ z ɪ tʼ ɪ v ɪ s tʼ ɪ
პოზიტიური	pʼ ɔ z i tʼ i u r i
პოზიცია	pʼ ɔ z ɪ t s ɪ ɑ
პოკერი	pʼ ɔ kʼ ɛ r ɪ
პოლ	pʼ ɔ l
პოლარიზაცია	pʼ ɔ l ɑ r ɪ z ɑ t s ɪ ɑ
პოლიტიკა	pʼ ɔ l ɪ tʼ ɪ kʼ ɑ
პოლიტიკურად	pʼ ɔ l ɪ tʼ ɪ kʼ u r ɑ d
პოლიტიკური	pʼ ɔ l i tʼ i kʼ u r i
პოლიფონიური	pʼ ɔ l ɪ pʰ ɔ n ɪ u r ɪ
პოლიციელი	pʼ ɔ l ɪ t s ɪ ɛ l ɪ
პოლონური	pʼ ɔ l ɔ n u r ɪ
პომადა	pʼ ɔ m ɑ d ɑ
პოპულარობა	pʼ ɔ pʼ u l ɑ r ɔ b ɑ
პორტატული	pʼ ɔ r tʼ ɑ tʼ u l ɪ
პორტუგალიას	pʼ ɔ r tʼ u ɡ ɑ l ɪ ɑ s
პორტფელი	pʼ ɔ r tʼ pʰ ɛ l ɪ
პოსტულატი	pʼ ɔ s tʼ u l ɑ tʼ ɪ
პოტენციურად	pʼ ɔ tʼ ɛ n t s ɪ u r ɑ d
პოტენციური	pʼ ɔ tʼ ɛ n t s i u r i
პრაქტიკოსი	pʼ r ɑ kʰ tʼ ɪ kʼ ɔ s ɪ
პრაქტიკულად	pʼ r ɑ kʰ tʼ ɪ kʼ u l ɑ d
პრაქტიკული	pʼ r ɑ kʰ tʼ i kʼ u l i
პრაღა	pʼ r ɑ ʁ ɑ
პრეზიდენტი	pʼ r ɛ z ɪ d ɛ n tʼ ɪ
პრემიერა	pʼ r ɛ m ɪ ɛ r ɑ
პრეროგატივა	pʼ r ɛ r ɔ ɡ ɑ tʼ ɪ v ɑ
პრესტიჟული	pʼ r ɛ s tʼ ɪ ʒ u l ɪ
პრეტენდენტი	pʼ r ɛ tʼ ɛ n d ɛ n tʼ ɪ
პრეტენზია	pʼ r ɛ tʼ ɛ n z ɪ ɑ
პრეტენზიული	pʼ r ɛ tʼ ɛ n z ɪ u l ɪ
პრიზი	pʼ r ɪ z ɪ
პრიორიტეტი	pʼ r ɪ ɔ r ɪ tʼ ɛ tʼ ɪ
პრობლემა	pʼ r ɔ b l ɛ m ɑ
პრობლემას	pʼ r ɔ b l ɛ m ɑ s
პროგნოზი	pʼ r ɔ ɡ n ɔ z ɪ
პროგრამა	pʼ r ɔ ɡ r ɑ m ɑ
პროდიუსერი	pʼ r ɔ d ɪ u s ɛ r ɪ
პროდუქტი	pʼ r ɔ d u kʰ tʼ i
პროდუქტიულად	pʼ r ɔ d u kʰ tʼ ɪ u l ɑ d
პროექტი	pʼ r ɔ ɛ kʰ tʼ ɪ
პროვინცია	pʼ r ɔ v i n t s i ɑ
პროვინციის	pʼ r ɔ v ɪ n t s ɪ ɪ s
პროვინციულად	pʼ r ɔ v ɪ n t s ɪ u l ɑ d
პროვოკაცია	pʼ r ɔ v ɔ kʼ ɑ t s i ɑ
პროპაგანდა	pʼ r ɔ pʼ ɑ ɡ ɑ n d ɑ
პროპორციული	pʼ r ɔ pʼ ɔ r t s i u l i
პროტაქტინიუმი	pʼ r ɔ tʼ ɑ kʰ tʼ i n i u m i
პროტესტი	pʼ r ɔ tʼ ɛ s tʼ ɪ
პროტოკოლი	pʼ r ɔ tʼ ɔ kʼ ɔ l ɪ
პროფესია	pʼ r ɔ pʰ ɛ s ɪ ɑ
პროფესიონალი	pʼ r ɔ pʰ ɛ s i ɔ n ɑ l i
პროფესიული	pʼ r ɔ pʰ ɛ s i u l i
პროფესორი	pʼ r ɔ pʰ ɛ s ɔ r ɪ
პროფილი	pʼ r ɔ pʰ ɪ l ɪ
პროცედურული	pʼ r ɔ t s ɛ d u r u l ɪ
პროცენტი	pʼ r ɔ t s ɛ n tʼ ɪ
პროცესი	pʼ r ɔ t s ɛ s ɪ
პროცესია	pʼ r ɔ t s ɛ s ɪ ɑ
პუბლიკა	pʼ u b l ɪ kʼ ɑ
პუბლიცისტი	pʼ u b l ɪ t s ɪ s tʼ ɪ
პუნქტი	pʼ u n kʰ tʼ i
პური	pʼ u r i
ჟანგბადი	ʒ ɑ n ɡ b ɑ d i
ჟვანია	ʒ v ɑ n i ɑ
ჟურნალი	ʒ u r n ɑ l ɪ
ჟურნალისტი	ʒ u r n ɑ l ɪ s tʼ ɪ
ჟურნალისტური	ʒ u r n ɑ l ɪ s tʼ u r ɪ
რა	r ɑ
რაგბი	r ɑ ɡ b ɪ
რადგან	r ɑ d ɡ ɑ n
რადგანაც	r ɑ d ɡ ɑ n ɑ t s
რადიკალური	r ɑ d ɪ kʼ ɑ l u r ɪ
რაზეც	r ɑ z ɛ t s
რაზმი	r ɑ z m ɪ
რაიმე	r ɑ i m ɛ
რაიონი	r ɑ ɪ ɔ n ɪ
რამ	r ɑ m
რამდენი	r ɑ m d ɛ n i
რამდენიმე	r ɑ m d ɛ n i m ɛ
რამე	r ɑ m ɛ
რამიშვილი	r ɑ m i ʃ v i l i
რამოდენიმე	r ɑ m ɔ d ɛ n i m ɛ
რანჩო	r ɑ n t ʃ ɔ
რასაკვირველია	r ɑ s ɑ kʼ v ɪ r v ɛ l ɪ ɑ
რატი	r ɑ tʼ i
რატიფიკაცია	r ɑ tʼ ɪ pʰ ɪ kʼ ɑ t s ɪ ɑ
რატომ	r ɑ tʼ ɔ m
რაღა	r ɑ ɣ ɑ
რაღაცა	r ɑ ɣ ɑ t s ɑ
რაში	r ɑ ʃ ɪ
რაციონალური	r ɑ t s i ɔ n ɑ l u r i
რბილად	r b ɪ l ɑ d
რბილი	r b i l i
რბოლა	r b ɔ l ɑ
რეაბილიტაცია	r ɛ ɑ b ɪ l ɪ tʼ ɑ t s ɪ ɑ
რეალიზაცია	r ɛ ɑ l i z ɑ t s i ɑ
რეალობა	r ɛ ɑ l ɔ b ɑ
რეალურად	r ɛ ɑ l u r ɑ d
რეაქცია	r ɛ ɑ kʰ t s i ɑ
რებეკა	r ɛ b ɛ kʼ ɑ
რეგენტი	r ɛ ɡ ɛ n tʼ ɪ
რეგიონალური	r ɛ ɡ i ɔ n ɑ l u r i
რეგიონი	r ɛ ɡ ɪ ɔ n ɪ
რეგიონის	r ɛ ɡ ɪ ɔ n ɪ s
რეგიონს	r ɛ ɡ ɪ ɔ n s
რეგრესი	r ɛ ɡ r ɛ s ɪ
რეგულარულად	r ɛ ɡ u l ɑ r u l ɑ d
რეესტრი	r ɛ ɛ s tʼ r ɪ
რევოლუცია	r ɛ v ɔ l u t s i ɑ
რევოლუციური	r ɛ v ɔ l u t s ɪ u r ɪ
რეზერვისტი	r ɛ z ɛ r v ɪ s tʼ ɪ
რეიტინგი	r ɛ i tʼ i n ɡ i
რეკლამა	r ɛ kʼ l ɑ m ɑ
რეკომენდაცია	r ɛ kʼ ɔ m ɛ n d ɑ t s ɪ ɑ
რელიგიური	r ɛ l ɪ ɡ ɪ u r ɪ
რემონტი	r ɛ m ɔ n tʼ ɪ
რენტგენი	r ɛ n tʼ ɡ ɛ n i
რეპეტიცია	r ɛ pʼ ɛ tʼ i t s i ɑ
რეპლიკა	r ɛ pʼ l i kʼ ɑ
რეპორტაჟი	r ɛ pʼ ɔ r tʼ ɑ ʒ ɪ
რეპორტიორი	r ɛ pʼ ɔ r tʼ ɪ ɔ r ɪ
რეპრესიული	r ɛ pʼ r ɛ s ɪ u l ɪ
რეპუტაცია	r ɛ pʼ u tʼ ɑ t s ɪ ɑ
რეჟიმი	r ɛ ʒ i m i
რეჟისორი	r ɛ ʒ ɪ s ɔ r ɪ
რესპონდენტი	r ɛ s pʼ ɔ n d ɛ n tʼ ɪ
რესპუბლიკა	r ɛ s pʼ u b l i kʼ ɑ
რესტავრაცია	r ɛ s tʼ ɑ v r ɑ t s ɪ ɑ
რესურსი	r ɛ s u r s ɪ
რეფერენდუმი	r ɛ pʰ ɛ r ɛ n d u m ɪ
რეფორმა	r ɛ pʰ ɔ r m ɑ
რეფორმატორი	r ɛ pʰ ɔ r m ɑ tʼ ɔ r ɪ
რექტორი	r ɛ kʰ tʼ ɔ r ɪ
რეცეპტი	r ɛ t s ɛ pʼ tʼ ɪ
რეცხვა	r ɛ t s x v ɑ
რვა	r v ɑ
რთველი	r tʰ v ɛ l ɪ
რთული	r tʰ u l i
რიგი	r i ɡ i
რითაც	r ɪ tʰ ɑ t s
რისთვის	r ɪ s tʰ v ɪ s
რისკი	r i s kʼ i
რისხვა	r i s x v ɑ
რიტუალი	r i tʼ u ɑ l i
რიცხვი	r i t s x v i
რკინა	r kʼ i n ɑ
რკინიგზა	r kʼ i n i ɡ z ɑ
რობერტ	r ɔ b ɛ r tʼ
რობოტი	r ɔ b ɔ tʼ ɪ
როგორ	r ɔ ɡ ɔ r
როგორმე	r ɔ ɡ ɔ r m ɛ
როგორღაც	r ɔ ɡ ɔ r ʁ ɑ t s
როდესმე	r ɔ d ɛ s m ɛ
როდის	r ɔ d ɪ s
როლი	r ɔ l i
რომანტიკა	r ɔ m ɑ n tʼ ɪ kʼ ɑ
რომელიც	r ɔ m ɛ l i t s
რომი	r ɔ m ɪ
რომის	r ɔ m ɪ s
რონდო	r ɔ n d ɔ
როცა	r ɔ t s ɑ
რუბლი	r u b l ɪ
რუდ	r u d
რუკა	r u kʼ ɑ
რუმინეთი	r u m i n ɛ tʰ i
რუმინული	r u m ɪ n u l ɪ
რუს	r u s
რუსეთი	r u s ɛ tʰ i
რუსეთის	r u s ɛ tʰ ɪ s
რუსეთმა	r u s ɛ tʰ m ɑ
რუსეთს	r u s ɛ tʰ s
რუსთაველი	r u s tʰ ɑ v ɛ l i
რუსთავი	r u s tʰ ɑ v i
რუსი	r u s i
რუსული	r u s u l ɪ
რუტინული	r u tʼ ɪ n u l ɪ
რჩევა	r t ʃ ɛ v ɑ
რჩეული	r t ʃ ɛ u l i
რძე	r d z ɛ
რწმენა	r t sʼ m ɛ n ɑ
რწმუნებულები	r t sʼ m u n ɛ b u l ɛ b ɪ
სა	s ɑ
სააგენტო	s ɑ ɑ ɡ ɛ n tʼ ɔ
საავადმყოფო	s ɑ ɑ v ɑ d m qʼ ɔ pʰ ɔ
საავიაციო	s ɑ ɑ v ɪ ɑ t s ɪ ɔ
საათი	s ɑ ɑ tʰ i
საათობრივად	s ɑ ɑ tʰ ɔ b r i v ɑ d
საანგარიშო	s ɑ ɑ n ɡ ɑ r i ʃ ɔ
სააპელაციო	s ɑ ɑ pʼ ɛ l ɑ t s ɪ ɔ
საარჩევნო	s ɑ ɑ r t ʃ ɛ v n ɔ
სააღდგომო	s ɑ ɑ ʁ d ɡ ɔ m ɔ
საბაბი	s ɑ b ɑ b i
საბაჟო	s ɑ b ɑ ʒ ɔ
საბედისწერო	s ɑ b ɛ d ɪ s t sʼ ɛ r ɔ
საბითუმო	s ɑ b ɪ tʰ u m ɔ
საბოლოო	s ɑ b ɔ l ɔ ɔ
საბოლოოდ	s ɑ b ɔ l ɔ ɔ d
საბრალო	s ɑ b r ɑ l ɔ
საბრძოლო	s ɑ b r d z ɔ l ɔ
საგანგებო	s ɑ ɡ ɑ n ɡ ɛ b ɔ
საგანი	s ɑ ɡ ɑ n ɪ
საგარეო	s ɑ ɡ ɑ r ɛ ɔ
საგრძნობლად	s ɑ ɡ r d z n ɔ b l ɑ d
სად	s ɑ d
სადავო	s ɑ d ɑ v ɔ
სადაზღვევო	s ɑ d ɑ z ɣ v ɛ v ɔ
სადისტური	s ɑ d ɪ s tʼ u r ɪ
სადმე	s ɑ d m ɛ
სადღაც	s ɑ d ʁ ɑ t s
საეკლესიო	s ɑ ɛ kʼ l ɛ s ɪ ɔ
საელჩო	s ɑ ɛ l t ʃ ɔ
საერთაშორისო	s ɑ ɛ r tʰ ɑ ʃ ɔ r i s ɔ
საერთო	s ɑ ɛ r tʰ ɔ
საერთოდ	s ɑ ɛ r tʰ ɔ d
საერო	s ɑ ɛ r ɔ
საეჭვო	s ɑ ɛ t ʃʼ v ɔ
საეჭვოდ	s ɑ ɛ t ʃʼ v ɔ d
სავალდებულო	s ɑ v ɑ l d ɛ b u l ɔ
სავალდებულოდ	s ɑ v ɑ l d ɛ b u l ɔ d
სავალუტო	s ɑ v ɑ l u tʼ ɔ
სავარაუდოდ	s ɑ v ɑ r ɑ u d ɔ d
სავარძელი	s ɑ v ɑ r d z ɛ l i
საზეიმო	s ɑ z ɛ ɪ m ɔ
საზოგადოება	s ɑ z ɔ ɡ ɑ d ɔ ɛ b ɑ
საზოგადოებამ	s ɑ z ɔ ɡ ɑ d ɔ ɛ b ɑ m
საზოგადოებას	s ɑ z ɔ ɡ ɑ d ɔ ɛ b ɑ s
საზოგადოების	s ɑ z ɔ ɡ ɑ d ɔ ɛ b ɪ s
საზღვაო	s ɑ z ɣ v ɑ ɔ
საზღვარგარეთ	s ɑ z ʁ v ɑ r ɡ ɑ r ɛ tʰ
სათადარიგო	s ɑ tʰ ɑ d ɑ r ɪ ɡ ɔ
სათაური	s ɑ tʰ ɑ u r ɪ
სათნო	s ɑ tʰ n ɔ
საიდან	s ɑ ɪ d ɑ n
საიდუმლოდ	s ɑ ɪ d u m l ɔ d
საით	s ɑ ɪ tʰ
საიმედო	s ɑ i m ɛ d ɔ
საიმედოობა	s ɑ ɪ m ɛ d ɔ ɔ b ɑ
საინტერესო	s ɑ i n tʼ ɛ r ɛ s ɔ
საინტერესოდ	s ɑ ɪ n tʼ ɛ r ɛ s ɔ d
საინფორმაციო	s ɑ ɪ n pʰ ɔ r m ɑ t s ɪ ɔ
საიტი	s ɑ i tʼ i
საკაიფო	s ɑ kʼ ɑ i pʰ ɔ
საკვები	s ɑ kʼ v ɛ b i
საკითხი	s ɑ kʼ i tʰ x i
საკმარისად	s ɑ kʼ m ɑ r i s ɑ d
საკმარისი	s ɑ kʼ m ɑ r i s i
საკონცერტო	s ɑ kʼ ɔ n t s ɛ r tʼ ɔ
საკუთარი	s ɑ kʼ u tʰ ɑ r i
სალათი	s ɑ l ɑ tʰ ɪ
სალარო	s ɑ l ɑ r ɔ
სამანდატო	s ɑ m ɑ n d ɑ tʼ ɔ
სამართალი	s ɑ m ɑ r tʰ ɑ l i
სამართალს	s ɑ m ɑ r tʰ ɑ l s
სამართლიანად	s ɑ m ɑ r tʰ l ɪ ɑ n ɑ d
სამართლიანი	s ɑ m ɑ r tʰ l ɪ ɑ n ɪ
სამართლის	s ɑ m ɑ r tʰ l ɪ s
სამარცხვინო	s ɑ m ɑ r t s x v i n ɔ
სამარცხვინოდ	s ɑ m ɑ r t s χ v ɪ n ɔ d
სამახსოვრო	s ɑ m ɑ χ s ɔ v r ɔ
სამედიცინო	s ɑ m ɛ d i t s i n ɔ
სამეფო	s ɑ m ɛ pʰ ɔ
სამეფოს	s ɑ m ɛ pʰ ɔ s
სამეცნიერო	s ɑ m ɛ t s n ɪ ɛ r ɔ
სამკურნალო	s ɑ m kʼ u r n ɑ l ɔ
სამმაგი	s ɑ m m ɑ ɡ i
სამოა	s ɑ m ɔ ɑ
სამოსი	s ɑ m ɔ s ɪ
სამოქალაქო	s ɑ m ɔ kʰ ɑ l ɑ kʰ ɔ
სამოყვარულო	s ɑ m ɔ qʼ v ɑ r u l ɔ
სამოციქულო	s ɑ m ɔ t s i kʰ u l ɔ
სამრეწველო	s ɑ m r ɛ t sʼ v ɛ l ɔ
სამუდამო	s ɑ m u d ɑ m ɔ
სამუდამოდ	s ɑ m u d ɑ m ɔ d
სამშენებლო	s ɑ m ʃ ɛ n ɛ b l ɔ
სამშობლო	s ɑ m ʃ ɔ b l ɔ
სამწუხარო	s ɑ m t sʼ u χ ɑ r ɔ
სამწუხაროდ	s ɑ m t sʼ u χ ɑ r ɔ d
სამხედრო	s ɑ m χ ɛ d r ɔ
სამხრეთით	s ɑ m χ r ɛ tʰ ɪ tʰ
სამჯერ	s ɑ m d ʒ ɛ r
სანამ	s ɑ n ɑ m
სანახაობა	s ɑ n ɑ χ ɑ ɔ b ɑ
სანდო	s ɑ n d ɔ
სანდოდ	s ɑ n d ɔ d
სანდრა	s ɑ n d r ɑ
სანიტარული	s ɑ n ɪ tʼ ɑ r u l ɪ
საოცარი	s ɑ ɔ t s ɑ r ɪ
საოცრად	s ɑ ɔ t s r ɑ d
საოცრება	s ɑ ɔ t s r ɛ b ɑ
საპასუხო	s ɑ pʼ ɑ s u x ɔ
საპატიო	s ɑ pʼ ɑ tʼ i ɔ
საპირისპირო	s ɑ pʼ ɪ r ɪ s pʼ ɪ r ɔ
საპირწონე	s ɑ pʼ ɪ r t sʼ ɔ n ɛ
სარეცხი	s ɑ r ɛ t s χ ɪ
სართული	s ɑ r tʰ u l ɪ
სარიშვილი	s ɑ r i ʃ v i l i
სარკე	s ɑ r kʼ ɛ
სარწმუნოება	s ɑ r t sʼ m u n ɔ ɛ b ɑ
სასადილო	s ɑ s ɑ d ɪ l ɔ
სასამართლო	s ɑ s ɑ m ɑ r tʰ l ɔ
სასარგებლოდ	s ɑ s ɑ r ɡ ɛ b l ɔ d
სასაუბრო	s ɑ s ɑ u b r ɔ
სასაფლაო	s ɑ s ɑ pʰ l ɑ ɔ
სასაცილო	s ɑ s ɑ t s ɪ l ɔ
სასაცილოდ	s ɑ s ɑ t s ɪ l ɔ d
სასახლე	s ɑ s ɑ x l ɛ
სასიამოვნო	s ɑ s i ɑ m ɔ v n ɔ
სასიკეთო	s ɑ s i kʼ ɛ tʰ ɔ
სასიკეთოდ	s ɑ s ɪ kʼ ɛ tʰ ɔ d
სასიკვდილო	s ɑ s ɪ kʼ v d ɪ l ɔ
სასიყვარულო	s ɑ s ɪ qʼ v ɑ r u l ɔ
სასტიკი	s ɑ s tʼ i kʼ i
სასურველი	s ɑ s u r v ɛ l ɪ
სასწავლო	s ɑ s t sʼ ɑ v l ɔ
სასწრაფო	s ɑ s t sʼ r ɑ pʰ ɔ
სასწრაფოდ	s ɑ s t sʼ r ɑ pʰ ɔ d
სასჯელი	s ɑ s d ʒ ɛ l ɪ
სატირული	s ɑ tʼ ɪ r u l ɪ
საუკეთესო	s ɑ u kʼ ɛ tʰ ɛ s ɔ
საუკუნით	s ɑ u kʼ u n ɪ tʰ
საუკუნის	s ɑ u kʼ u n ɪ s
საუკუნო	s ɑ u kʼ u n ɔ
საფასური	s ɑ pʰ ɑ s u r ɪ
საფეხბურთო	s ɑ pʰ ɛ x b u r tʰ ɔ
საფოსტო	s ɑ pʰ ɔ s tʼ ɔ
საფრანგეთის	s ɑ pʰ r ɑ n ɡ ɛ tʰ ɪ s
საფრანგეთმა	s ɑ pʰ r ɑ n ɡ ɛ tʰ m ɑ
საფრანგეთს	s ɑ pʰ r ɑ n ɡ ɛ tʰ s
საფრთხე	s ɑ pʰ r tʰ χ ɛ
საფულე	s ɑ pʰ u l ɛ
საფუძველი	s ɑ pʰ u d z v ɛ l i
საქართველო	s ɑ kʰ ɑ r tʰ v ɛ l ɔ
საქვეყნოდ	s ɑ kʰ v ɛ qʼ n ɔ d
საქმე	s ɑ kʰ m ɛ
საქმიანობს	s ɑ kʰ m i ɑ n ɔ b s
საქონელი	s ɑ kʰ ɔ n ɛ l i
საქორწილო	s ɑ kʰ ɔ r t sʼ ɪ l ɔ
საქორწინო	s ɑ kʰ ɔ r t sʼ ɪ n ɔ
საქსი	s ɑ kʰ s ɪ
საქციელი	s ɑ kʰ t s i ɛ l i
საღამო	s ɑ ɣ ɑ m ɔ
საღოლ	s ɑ ɣ ɔ l
საყვარელი	s ɑ qʼ v ɑ r ɛ l i
საყოველთაო	s ɑ qʼ ɔ v ɛ l tʰ ɑ ɔ
საყურადღებო	s ɑ qʼ u r ɑ d ʁ ɛ b ɔ
საშინელება	s ɑ ʃ ɪ n ɛ l ɛ b ɑ
საშინელი	s ɑ ʃ ɪ n ɛ l ɪ
საშინლად	s ɑ ʃ ɪ n l ɑ d
საშუალება	s ɑ ʃ u ɑ l ɛ b ɑ
საშუალოდ	s ɑ ʃ u ɑ l ɔ d
საჩუქარი	s ɑ t ʃ u kʰ ɑ r ɪ
საცვალი	s ɑ t s v ɑ l i
საცოდავად	s ɑ t s ɔ d ɑ v ɑ d
საწარმო	s ɑ t sʼ ɑ r m ɔ
საწინააღმდეგოდ	s ɑ t sʼ ɪ n ɑ ɑ ʁ m d ɛ ɡ ɔ d
საწოლი	s ɑ t sʼ ɔ l i
საწყისი	s ɑ t sʼ qʼ ɪ s ɪ
საწყობი	s ɑ t sʼ qʼ ɔ b ɪ
საჭადრაკო	s ɑ t ʃʼ ɑ d r ɑ kʼ ɔ
საჭირო	s ɑ t ʃʼ ɪ r ɔ
საჭმელი	s ɑ t ʃʼ m ɛ l ɪ
სახალხო	s ɑ x ɑ l x ɔ
სახე	s ɑ x ɛ
