աա	ɑ ɑ
մահապատիժ	m ɑ h ɑ p ɑ t i ʒ
մահացու	m ɑ h ɑ t͡sʰ u
մահմեդական	m ɑ h m ɛ d ɑ k ɑ n
մաղադանոս	m ɑ ʁ ɑ d ɑ n ɔ s
մաղթանք	m ɑ χ tʰ ɑ n kʰ
մաղթել	m ɑ χ tʰ ɛ l
մամ	m ɑ m
մամա	m ɑ m ɑ
մամուլ	m ɑ m u l
մամուլի	m ɑ m u l i
մայա	m ɑ j ɑ
մայիս	m ɑ j i s
մայր	m ɑ j ɾ
մայրական	m ɑ j ɾ ɑ k ɑ n
մայրաքաղաք	m ɑ j ɾ ɑ kʰ ɑ ʁ ɑ kʰ
մայրենի	m ɑ j ɾ ɛ n i
մայրուղի	m ɑ j ɾ u ʁ i
մանանա	m ɑ n ɑ n ɑ
մանե	m ɑ n ɛ
մանեթ	m ɑ n ɛ tʰ
մանուկ	m ɑ n u k
մանվել	m ɑ n v ɛ l
մանրակրկիտ	m ɑ n ɾ ɑ k ə ɾ k i t
մաշկ	m ɑ ʃ k
մառախուղ	m ɑ r ɑ χ u ʁ
մաս	m ɑ s
մասամբ	m ɑ s ɑ m pʰ
մասնագիտություն	m ɑ s n ɑ ɡ i t u tʰ j u n
մասնակից	m ɑ s n ɑ k i t͡sʰ
մասնակցել	m ɑ s n ɑ k t͡sʰ ɛ l
մասնաճյուղ	m ɑ s n ɑ t͡ʃ j u ʁ
մասնավոր	m ɑ s n ɑ v ɔ ɾ
մատ	m ɑ t
մատակարար	m ɑ t ɑ k ɑ ɾ ɑ ɾ
մատաղ	m ɑ t ɑ ʁ
մատթեոս	m ɑ t tʰ ɛ ɔ s
մատիտ	m ɑ t i t
մատնել	m ɑ t n ɛ l
մատուցող	m ɑ t u t͡sʰ ɔ ʁ
մարատ	m ɑ ɾ ɑ t
մարգար	m ɑ ɾ kʰ ɑ ɾ
մարգարիտ	m ɑ ɾ kʰ ɑ ɾ i t
մարգարյան	m ɑ ɾ kʰ ɑ ɾ j ɑ n
մարդ	m ɑ ɾ tʰ
մարդահամար	m ɑ ɾ tʰ ɑ h ɑ m ɑ ɾ
մարդաշատ	m ɑ ɾ tʰ ɑ ʃ ɑ t
մարդիկ	m ɑ ɾ tʰ i k
մարդկային	m ɑ ɾ tʰ k ɑ j i n
մարդկանց	m ɑ ɾ tʰ k ɑ n t͡sʰ
մարզադաշտ	m ɑ ɾ z ɑ d ɑ ʃ t
մարզասրահ	m ɑ ɾ z ɑ s ə ɾ ɑ h
մարզիկ	m ɑ ɾ z i k
մարիամ	m ɑ ɾ j ɑ m
մարջան	m ɑ ɾ d͡ʒ ɑ n
մարս	m ɑ ɾ s
մարսել	m ɑ ɾ s ɛ l
մարտ	m ɑ ɾ t
մարտական	m ɑ ɾ t ɑ k ɑ n
մարտահրավեր	m ɑ ɾ t ɑ h ə ɾ ɑ v ɛ ɾ
մարտավարություն	m ɑ ɾ t ɑ v ɑ ɾ u tʰ j u n
մարտին	m ɑ ɾ t i n
մարտիրոս	m ɑ ɾ t i ɾ ɔ s
մարտկոց	m ɑ ɾ t k o t sʰ
մաքուր	m ɑ kʰ u ɾ
մաքրել	m ɑ kʰ ɾ ɛ l
մաքրում	m ɑ kʰ ɾ u m
մեթոդ	m ɛ tʰ ɔ d
մելիքյան	m ɛ l i kʰ j ɑ n
մեխ	m ɛ χ
մեխակ	m ɛ χ ɑ k
մեծագույն	m ɛ t͡s ɑ ɡ u j n
մեծամասնություն	m ɛ t͡s ɑ m ɑ s n u tʰ j u n
մեծանուն	m ɛ t͡s ɑ n u n
մեծապես	m ɛ t͡s ɑ p ɛ s
մեծարել	m ɛ t͡s ɑ ɾ ɛ l
մեծաքանակ	m ɛ t͡s ɑ kʰ ɑ n ɑ k
մեկին	m ɛ k i n
մեկնաբանություն	m ɛ k n ɑ b ɑ n u tʰ j u n
մեկնել	m ɛ k n ɛ l
մեկնում	m ɛ k n u m
մեղադրանք	m ɛ ʁ ɑ d ə ɾ ɑ ŋ kʰ
մեղավոր	m ɛ ʁ ɑ v ɔ ɾ
մեղմ	m ɛ ʁ m
մեղր	m ɛ ʁ ə ɾ
մեղրի	m ɛ ʁ ɾ i
մեղք	m ɛ χ kʰ
մեղքեր	m ɛ χ kʰ ɛ ɾ
մեն	m ɛ n
մենակ	m ɛ n ɑ k
մենամարտ	m ɛ n ɑ m ɑ ɾ t
մենաշնորհ	m ɛ n ɑ ʃ ə n ɔ ɾ
մենուա	m ɛ n u ɑ
մենք	m ɛ ŋ kʰ
մեջ	m ɛ t͡ʃʰ
մեռած	m ɛ r ɑ t͡s
մեռնել	m ɛ r n ɛ l
մեսիջ	m ɛ s i d͡ʒ
մետաղ	m ɛ t ɑ ʁ
մետաքս	m ɛ t ɑ kʰ s
մետաքսյա	m ɛ t ɑ kʰ s j ɑ
մերժել	m ɛ ɾ ʒ ɛ l
մերժում	m ɛ ɾ ʒ u m
մերի	m ɛ ɾ i
մերկ	m ɛ ɾ k
մերկասառույց	m ɛ ɾ k ɑ s ɑ r u j t͡sʰ
մերուժան	m ɛ ɾ u ʒ ɑ n
մերսի	m ɛ r s i
մերսում	m ɛ ɾ s u m
մեքսիկա	m ɛ kʰ s i k ɑ
մթամ	m ə tʰ ɑ m
մթնշաղ	m ə tʰ ə n ʃ ɑ ʁ
մթնոլորտ	m ə tʰ n o l o ɾ t
մի	m i
միահամուռ	m j ɑ h ɑ m u r
միամտություն	m i j ɑ m ə t u tʰ j u n
միայն	m i j ɑ j n
միայնակ	m i j ɑ j n ɑ k
միասեռական	m i j ɑ s ɛ r ɑ k ɑ n
միասին	m j ɑ s i n
միասնաբար	m j ɑ s n ɑ b ɑ ɾ
միավորում	m i j ɑ v ɔ ɾ u m
միավորված	m i j ɑ v ɔ ɾ v ɑ t͡s
միացյալ	m i j ɑ t͡sʰ j ɑ l
միացում	m i j ɑ t͡sʰ u m
միգուցե	m i ɡ u t͡sʰ ɛ
միլան	m i l ɑ n
միլիարդ	m i l j ɑ ɾ d
միլիմետր	m i l i m ɛ t ə ɾ
միլիոնատեր	m i l j ɔ n ɑ t ɛ ɾ
միկոյան	m i k ɔ j ɑ n
միհրան	m i h ɾ ɑ n
մինասյան	m i n ɑ s j ɑ n
մինչդեռ	m i n t͡ʃʰ d ɛ r
միշտ	m i ʃ t
միության	m i u tʰ j ɑ n
միություն	m i u tʰ j u n
միջազգային	m i t͡ʃʰ ɑ z ɡ ɑ j i n
միջամտել	m i t͡ʃʰ ɑ m ə t ɛ l
միջանցք	m i t͡ʃʰ ɑ n t͡sʰ kʰ
միջերկրական	m i t͡ʃʰ ɛ ɾ k ɾ ɑ k ɑ n
միջեւ	m i t͡ʃʰ ɛ v
միջնադարյան	m i t͡ʃʰ n ɑ d ɑ ɾ j ɑ n
միջնորդ	m i t͡ʃʰ n ɔ ɾ tʰ
միջով	m i t͡ʃʰ ɔ v
միջոցառում	m i t͡ʃʰ ɔ t͡sʰ ɑ r u m
միջուկային	m i t͡ʃʰ u k ɑ j i n
միս	m i s
միտում	m i t u m
միտք	m i t kʰ
միտքը	m i t kʰ ə
միրգ	m i ɾ kʰ
միրզոյան	m i ɾ z ɔ j ɑ n
միքայել	m i kʰ ɑ j ɛ l
մխիթար	m ə χ i tʰ ɑ ɾ
մխիթարյան	m ə χ i tʰ ɑ ɾ j ɑ n
մխրճվել	m ə χ ə ɾ t͡ʃ v ɛ l
մկան	m ə k ɑ n
մկրատ	m ə k ɾ ɑ t
մկրտիչ	m ə k ə ɾ t i t͡ʃʰ
մղել	m ə ʁ ɛ l
մյուս	m j u s
մշակ	m ə ʃ ɑ k
մշակել	m ə ʃ ɑ k ɛ l
մշակութային	m ə ʃ ɑ k u tʰ ɑ j i n
մշակույթ	m ə ʃ ɑ k u j tʰ
մշտապես	m ə ʃ t ɑ p ɛ s
մոդա	m ɔ d ɑ
մոդել	m ɔ d ɛ l
մոդուլ	m ɔ d u l
մոլեկուլային	m ɔ l ɛ k u l ɑ j i n
մոլորակ	m o l o ɾ ɑ k
մոլորվել	m ɔ l ɔ ɾ v ɛ l
մոխրագույն	m ɔ χ ɾ ɑ ɡ u j n
մոմ	m ɔ m
մոնիտոր	m o n i t o ɾ
մոռ	m o r
մոռանալ	m o r ɑ n ɑ l
մոսկվա	m ɔ s k v ɑ
մովսես	m ɔ f s ɛ s
մովսիսյան	m ɔ f s i s j ɑ n
մոտ	m ɔ t
մոտալուտ	m ɔ t ɑ l u t
մոտակա	m ɔ t ɑ k ɑ
մոտավորապես	m ɔ t ɑ v ɔ ɾ ɑ p ɛ s
մոտենալ	m ɔ t ɛ n ɑ l
մոտեցում	m ɔ t ɛ t͡sʰ u m
մոր	m ɔ ɾ
մորեխ	m ɔ ɾ ɛ χ
մորթել	m ɔ ɾ tʰ ɛ l
մորուք	m o ɾ u kʰ
մուգ	m u kʰ
մութ	m u tʰ
մուկ	m u k
մունջ	m u n d͡ʒ
մուշեղ	m u ʃ ɛ ʁ
մուռ	m u r
մուտք	m u t kʰ
մուրադյան	m u ɾ ɑ d j ɑ n
մուրացկան	m u ɾ ɑ t͡sʰ k ɑ n
մռայլ	m ə r ɑ j l
մտաբերել	m ə t ɑ b ɛ ɾ ɛ l
մտադիր	m ə t ɑ d i ɾ
մտադրություն	m ə t ɑ d ɾ u tʰ j u n
մտածել	m ə t ɑ t͡s ɛ l
մտածող	m ə t ɑ t͡s ɔ ʁ
մտահոգ	m ə t ɑ h ɔ ɡ
մտահոգություն	m ə t ɑ h ɔ kʰ u tʰ j u n
մտահոգված	m ə t ɑ h ɔ kʰ v ɑ t͡s
մտավոր	m ə t ɑ v ɔ ɾ
մտավորականություն	m ə t ɑ v o ɾ ɑ k ɑ n u t sʰ j u n
մտիկ	m ə t i k
մտնել	m ə t n ɛ l
մտորել	m ə t ɔ ɾ ɛ l
մրցակից	m ə ɾ t͡sʰ ɑ k i t͡sʰ
մրցակցություն	m ə ɾ t͡sʰ ɑ k t͡sʰ u tʰ j u n
մրցավազք	m ə ɾ t͡sʰ ɑ v ɑ z kʰ
մրցավար	m ə ɾ t͡sʰ ɑ v ɑ ɾ
մրցել	m ə ɾ t͡sʰ ɛ l
մրցում	m ə ɾ t͡sʰ u m
յալթա	j ɑ l tʰ ɑ
յոդ	j o d
յոթ	j ɔ tʰ
յոթանասուն	j o tʰ ɑ n ɑ s u n
յոթերորդ	j o tʰ ɛ ɾ o ɾ tʰ
յուլյա	j u l j ɑ
յուրահատուկ	j u ɾ ɑ h ɑ t u k
յուրաքանչյուր	j u ɾ ɑ kʰ ɑ n t͡ʃʰ j u ɾ
յուրովի	j u ɾ o v i
յուրօրինակ	j u ɾ ɔ ɾ i n ɑ k
նա	n ɑ
նաեւ	n ɑ j ɛ v
նազ	n ɑ z
նազարեթ	n ɑ z ɑ ɾ ɛ tʰ
նազարյան	n ɑ z ɑ ɾ j ɑ n
նալբանդյան	n ɑ l b ɑ n d j ɑ n
նախ	n ɑ χ
նախագահ	n ɑ χ ɑ ɡ ɑ h
նախագահական	n ɑ χ ɑ ɡ ɑ h ɑ k ɑ n
նախագիծ	n ɑ χ ɑ ɡ i t͡s
նախադասություն	n ɑ χ ɑ d ɑ s u tʰ j u n
նախադեպ	n ɑ χ ɑ d ɛ p
նախաձեռնություն	n ɑ χ ɑ d͡z ɛ r n u tʰ j u n
նախաճաշել	n ɑ χ ɑ t ʃ ɑ ʃ ɛ l
նախանձ	n ɑ χ ɑ n d͡z
նախանձել	n ɑ χ ɑ n d͡z ɛ l
նախապես	n ɑ χ ɑ p ɛ s
նախատեսել	n ɑ χ ɑ t ɛ s ɛ l
նախատեսում	n ɑ χ ɑ t ɛ s u m
նախատեսվել	n ɑ χ ɑ t ɛ s v ɛ l
նախարար	n ɑ χ ɑ ɾ ɑ ɾ
նախարարություն	n ɑ χ ɑ ɾ ɑ ɾ u tʰ j u n
նախընտրել	n ɑ χ ə n t ɾ ɛ l
նախկին	n ɑ χ k i n
նախորդ	n ɑ χ ɔ ɾ tʰ
նամազ	n ɑ m ɑ z
նամակ	n ɑ m ɑ k
նայած	n ɑ j ɑ t͡s
նայել	n ɑ j ɛ l
նայվածք	n ɑ j v ɑ t͡s kʰ
նատօ	n ɑ t ɔ
նարդի	n ɑ ɾ d i
նացիստ	n ɑ t͡sʰ i s t
նեապոլ	n ɛ j ɑ p o l
նեխել	n ɛ χ ɛ l
նեղ	n ɛ ʁ
նեղանալ	n ɛ ʁ ɑ n ɑ l
նենգ	n ɛ ŋ ɡ
նետել	n ɛ t ɛ l
ներ	n ɛ ɾ
ներածություն	n ɛ ɾ ɑ t͡s u tʰ j u n
ներբեռնել	n ɛ ɾ b ɛ r n ɛ l
ներբող	n ɛ ɾ pʰ o ʁ
ներգաղթ	n ɛ ɾ ɡ ɑ χ tʰ
ներդաշնակ	n ɛ ɾ d ɑ ʃ n ɑ k
ներդաշնակություն	n ɛ ɾ d ɑ ʃ n ɑ k u tʰ j u n
ներդնել	n ɛ ɾ d ə n ɛ l
ներդրում	n ɛ ɾ d ə ɾ u m
ներել	n ɛ ɾ ɛ l
ներխուժել	n ɛ ɾ χ u ʒ ɛ l
ներխուժում	n ɛ ɾ χ u ʒ u m
ներկայացում	n ɛ ɾ k ɑ j ɑ t͡sʰ u m
ներկայացուցիչ	n ɛ ɾ k ɑ j ɑ t͡sʰ u t͡sʰ i t͡ʃʰ
ներկայացուցչություն	n ɛ ɾ k ɑ j ɑ t͡sʰ u t͡sʰ t͡ʃʰ u tʰ j u n
ներկել	n ɛ ɾ k ɛ l
ներողություն	n ɛ ɾ o ʁ u t͡sʰ j u n
ներում	n ɛ ɾ u m
ներս	n ɛ ɾ s
ներսես	n ɛ ɾ s ɛ s
ներսիսյան	n ɛ ɾ s i s j ɑ n
ներքեւ	n ɛ ɾ kʰ ɛ v
ներքին	n ɛ ɾ kʰ i n
ներքնազգեստ	n ɛ ɾ kʰ n ɑ z ɡ ɛ s t
ներքո	n ɛ ɾ kʰ ɔ
ներքուստ	n ɛ ɾ kʰ u s t
նժդեհ	n ə ʒ d ɛ h
նիկոլ	n i k ɔ l
նիկողայոս	n i k ɔ ʁ ɑ j ɔ s
նիհար	n i h ɑ ɾ
նկատմամբ	n ə k ɑ t m ɑ m b
նկար	n ə k ɑ ɾ
նկարագրել	n ə k ɑ ɾ ɑ ɡ ɾ ɛ l
նկարագրություն	n ə k ɑ ɾ ɑ ɡ ɾ u tʰ j u n
նկարահանել	n ə k ɑ ɾ ɑ h ɑ n ɛ l
նկարահանում	n ə k ɑ ɾ ɑ h ɑ n u m
նկարահանվել	n ə k ɑ ɾ ɑ h ɑ n v ɛ l
նկարել	n ə k ɑ ɾ ɛ l
նկարիչ	n ə k ɑ ɾ i t͡ʃʰ
նկուղային	n ə k u ʁ ɑ j i n
նման	n ə m a n
նմուշ	n ə m u ʃ
նյութ	n j u tʰ
նշանավոր	n ə ʃ ɑ n ɑ v ɔ ɾ
նշանվել	n ə ʃ ɑ n v ɛ l
նշել	n ə ʃ ɛ l
նոխազ	n o χ ɑ z
նոյեմբեր	n o j ɛ m b ɛ ɾ
նոր	n ɔ ɾ
նորածին	n ɔ ɾ ɑ t͡s i n
նորայր	n ɔ ɾ ɑ j ɾ
նորմատիվ	n o ɾ m ɑ t i v
նորոգ	n o ɾ o kʰ
նորություն	n ɔ ɾ u tʰ j u n
նորություններ	n ɔ ɾ u tʰ j u nː ɛ ɾ
նորույթ	n ɔ ɾ u j tʰ
նորվեգական	n ɔ ɾ v ɛ ɡ ɑ k ɑ n
նույն	n u ɪ̯ n
նույնականացման	n u j n ɑ k ɑ n ɑ t͡sʰ m ɑ n
նույնիսկ	n u j n i s k
նույնպես	n u j n p ɛ s
նույնքան	n u j n kʰ ɑ n
նուրբ	n u ɾ pʰ
նպաստ	n ə p ɑ s t
նպաստել	n ə p ɑ s t ɛ l
նպատակ	n ə p ɑ t ɑ k
նվազ	n ə v ɑ z
նվարդ	n ə v ɑ ɾ tʰ
նվեր	n ə v ɛ ɾ
նվիրել	n ə v i ɾ ɛ l
նրան	n ə ɾ ɑ n
նրանով	n ɾ ɑ n o v
նրանում	n ɾ ɑ n u m
նրանց	n ə ɾ ɑ n t͡sʰ
նրանք	n ə ɾ ɑ ŋ kʰ
շաբաթվա	ʃ ɑ pʰ ɑ tʰ v ɑ
շագանակագույն	ʃ ɑ ɡ ɑ n ɑ k ɑ ɡ u j n
շալվար	ʃ ɑ l v ɑ ɾ
շախ	ʃ ɑ χ
շախմատ	ʃ ɑ χ m ɑ t
շախմատի	ʃ ɑ χ m ɑ t i
շախմատիստ	ʃ ɑ χ m ɑ t i s t
շահավետ	ʃ ɑ h ɑ v ɛ t
շահեկան	ʃ ɑ h ɛ k ɑ n
շահեն	ʃ ɑ h ɛ n
շաղ	ʃ ɑ ʁ
շամախի	ʃ ɑ m ɑ χ i
շամիրամ	ʃ ɑ m i ɾ ɑ m
շամպայն	ʃ ɑ m p ɑ j n
շանթ	ʃ ɑ n tʰ
շապիկ	ʃ ɑ p i k
շավարշ	ʃ ɑ v ɑ ɾ ʃ
շատ	ʃ ɑ t
շարադրություն	ʃ ɑ ɾ ɑ d ɾ u tʰ j u n
շարժ	ʃ ɑ ɾ ʒ
շարժական	ʃ ɑ ɾ ʒ ɑ k ɑ n
շարժել	ʃ ɑ ɾ ʒ ɛ l
շարժիչ	ʃ ɑ ɾ ʒ i t ʃʰ
շարժում	ʃ ɑ ɾ ʒ u m
շարքային	ʃ ɑ ɾ kʰ ɑ j i n
շաքար	ʃ ɑ kʰ ɑ ɾ
շաքարավազ	ʃ ɑ kʰ ɑ ɾ ɑ v ɑ z
շեղանկյուն	ʃ ɛ ʁ ɑ ŋ k j u n
շենք	ʃ ɛ ŋ kʰ
շեշտել	ʃ ɛ ʃ t ɛ l
շերեփուկ	ʃ ɛ ɾ ɛ pʰ u k
շեքսպիր	ʃ ɛ kʰ s p i ɾ
շեֆ	ʃ ɛ f
շիճուկ	ʃ i t͡ʃ u k
շինարար	ʃ i n ɑ ɾ ɑ ɾ
շիրակ	ʃ i ɾ ɑ k
շիրինյան	ʃ i ɾ i n j ɑ n
շղթա	ʃ ə χ tʰ ɑ
շղթայական	ʃ ə χ tʰ ɑ j ɑ k ɑ n
շնորհակալ	ʃ ə n ɔ ɾ ɑ k ɑ l
շնորհավոր	ʃ ə n ɔ ɾ ɑ v ɔ ɾ
շնորհավորում	ʃ n ɔ ɾ ɑ v ɔ ɾ u m
շնորհել	ʃ ə n ɔ ɾ ɛ l
շնորհիվ	ʃ ə n ɔ ɾ i v
շնորհք	ʃ ə n ɔ ɾ kʰ
շնչառություն	ʃ ə n t͡ʃʰ ɑ r u tʰ j u n
շոկոլադ	ʃ ɔ k ɔ l ɑ d
շոր	ʃ ɔ ɾ
շուկա	ʃ u k ɑ
շուն	ʃ u n
շուշան	ʃ u ʃ ɑ n
շուշանիկ	ʃ u ʃ ɑ n i k
շուշի	ʃ u ʃ i
շուշտ	ʃ u ʃ t
շուտ	ʃ u t
շուտափույթ	ʃ u t ɑ pʰ u j tʰ
շուտով	ʃ u t ɔ v
շուրջ	ʃ u ɾ d͡ʒ
շպրտել	ʃ ə p ə ɾ t ɛ l
շվեդ	ʃ ə v ɛ d
շվեդական	ʃ v ɛ d ɑ k ɑ n
շվեյցարիա	ʃ v ɛ j t͡sʰ ɑ ɾ j ɑ
շտաբ	ʃ t ɑ b
շտեմարան	ʃ t ɛ m ɑ ɾ ɑ n
շտկել	ʃ ə t k ɛ l
շրջան	ʃ ə ɾ d͡ʒ ɑ n
շրջանակ	ʃ ə ɾ d͡ʒ ɑ n ɑ k
շրջանակում	ʃ ə ɾ d͡ʒ ɑ n ɑ k u m
շրջանառություն	ʃ ə ɾ d͡ʒ ɑ n ɑ r u tʰ j u n
շրջիկ	ʃ ə ɾ d͡ʒ i k
շփոթել	ʃ ə pʰ ɔ tʰ ɛ l
շփոթություն	ʃ ə pʰ ɔ tʰ u tʰ j u n
շքեղ	ʃ ə kʰ ɛ ʁ
շքերթ	ʃ ə kʰ ɛ ɾ tʰ
ոգեշնչել	v ɔ kʰ ɛ ʃ ə n t͡ʃʰ ɛ l
ոլորապտույտ	v ɔ l ɔ ɾ ɑ p ə t u j t
ոլորուն	v ɔ l ɔ ɾ u n
ոլորտ	v ɔ l ɔ ɾ t
ող	v ɔ ʁ
ողբ	v ɔ χ p
ողբերգություն	v ɔ χ p ɛ ɾ ɡ u tʰ j u n
ողողել	v ɔ ʁ ɔ ʁ ɛ l
ողորմածիկ	v ɔ ʁ ɔ ɾ m ɑ t͡s i k
ողորմություն	v ɔ ʁ ɔ ɾ m u tʰ j u n
ողջ	v ɔ χ t͡ʃʰ
ողջամիտ	v ɔ χ t͡ʃʰ ɑ m i t
ողջույն	v ɔ χ t͡ʃʰ u j n
ողջունել	v ɔ χ t͡ʃʰ u n ɛ m
ոճ	v ɔ t͡ʃ
ոմն	v o m ə n
ոնց	v ɔ n t͡sʰ
ոչ	v ɔ t͡ʃʰ
ոչխար	v ɔ t͡ʃʰ χ ɑ ɾ
ոչնչացում	v ɔ t͡ʃʰ ə n t͡ʃʰ ɑ t͡sʰ u m
ոսկանյան	v ɔ s k ɑ n j ɑ n
ոսկե	v ɔ s k ɛ
ոսկեզօծ	v o s k ɛ z o t s
ոսկի	v ɔ s k i
ոսկյա	v ɔ s k j ɑ
ոսկու	v ɔ s k u
ոսկր	v ɔ s k ə ɾ
ոստանիկ	v ɔ s t ɑ n i k
ոստիկան	v ɔ s t i k ɑ n
ոստիկանապետ	v ɔ s t i k ɑ n ɑ p ɛ t
ոստիկանություն	v ɔ s t i k ɑ n u tʰ j u n
ով	ɔ v
ոտ	v ɔ t
ոտք	v ɔ t kʰ
որ	v ɔ ɾ
որակական	v ɔ ɾ ɑ k ɑ k ɑ n
որբ	v ɔ ɾ pʰ
որբանալ	v o ɾ pʰ ɑ n ɑ l
որդ	v ɔ ɾ tʰ
որդի	v ɔ ɾ tʰ i
որեւէ	v ɔ ɾ ɛ v ɛ
որի	v ɔ ɾ i
որոնում	v ɔ ɾ ɔ n u m
որոշակի	v ɔ ɾ ɔ ʃ ɑ k i
որոշում	v ɔ ɾ ɔ ʃ u m
որոտ	v ɔ ɾ ɔ t
որոր	v ɔ ɾ ɔ ɾ
որս	v ɔ ɾ s
որսալ	v ɔ ɾ s ɑ l
որտեղ	v ɔ ɾ t ɛ ʁ
որքան	v ɔ ɾ kʰ ɑ n
ութերորդ	uʰ ɛ ɾ o ɾ tʰ
ուժ	u ʒ
ուժգին	u ʒ ɡ i n
ուլ	u l
ուլունք	u l u n kʰ
ուկրաինա	u k ɾ ɑ j i n ɑ
ուկրաինական	u k ɾ ɑ i n ɑ k ɑ n
ուկրաինացի	u k ɾ ɑ i n ɑ t͡sʰ i
ուղարկել	u ʁ ɑ ɾ k ɛ l
ուղեկցել	u ʁ ə k t͡sʰ ɛ l
ուղեղ	u ʁ ɛ ʁ
ուղերձ	u ʁ ɛ ɾ t͡sʰ
ուղի	u ʁ i
ուղիղ	u ʁ i ʁ
ուղղաթիռ	u ʁː ɑ tʰ i r
ուղղակի	u ʁː ɑ k i
ումպ	u m p
ունակ	u n ɑ k
ունակություն	u n ɑ k u tʰ j u n
ունեմ	u n ɛ m
ունենալ	u n ɛ n a l
ուշ	u ʃ
ուշադիր	u ʃ ɑ d i ɾ
ուշանալ	u ʃ ɑ n ɑ l
ուշիմ	u ʃ i m
ուշք	u ʃ kʰ
ուռուցքաբանական	u r u t͡sʰ kʰ ɑ b ɑ n ɑ k ɑ n
ուս	u s
ուսանել	u s ɑ n ɛ l
ուսանող	u s ɑ n ɔ ʁ
ուսապարկ	u s ɑ p ɑ ɾ k
ուսում	u s u m
ուսուցանել	u s u t͡sʰ ɑ n ɛ l
ուսուցչուհի	u s u t sʰ t ʃʰ u h i
ուստի	u s t i
ուտել	u t ɛ l
ուր	u ɾ
ուրախացնել	u ɾ ɑ χ ɑ t͡sʰ n ɛ l
ուրարտական	u ɾ ɑ ɾ t ɑ k ɑ n
ուրբաթ	u ɾ pʰ ɑ tʰ
ուրիշ	u ɾ i ʃ
ուրվական	u ɾ v ɑ k ɑ n
ոք	v ɔ kʰ
չամիչ	t͡ʃʰ ɑ m i t͡ʃʰ
չար	t͡ʃʰ ɑ ɾ
չարաշահել	t͡ʃʰ ɑ ɾ ɑ ʃ ɑ h ɛ l
չարբախ	t͡ʃʰ ɑ ɾ b ɑ χ
չարիք	t ʃʰ ɑ ɾ i kʰ
չարխ	t͡ʃʰ ɑ ɾ χ
չարչարել	t͡ʃʰ ɑ ɾ t͡ʃʰ ɑ ɾ ɛ l
չափազանց	t͡ʃʰ ɑ pʰ ɑ z ɑ n t͡sʰ
չափահաս	t͡ʃʰ ɑ pʰ ɑ h ɑ s
չգիտեմ	t͡ʃʰ ə ɡ i t ɛ m
չեզոք	t͡ʃʰ ɛ z ɔ kʰ
չեխիա	t͡ʃʰ ɛ χ j ɑ
չեղարկել	t͡ʃʰ ɛ ʁ ɑ ɾ k ɛ l
չեմպիոն	t͡ʃʰ ɛ m p j ɔ n
չեռնոգորիա	t͡ʃʰ ɛ r n ɔ ɡ ɔ ɾ j ɑ
չէ	t͡ʃʰ ɛ
չի	t͡ʃʰ i
չիլինգարյան	t͡ʃʰ i l i ŋ ɡ ɑ ɾ j ɑ n
չինաստան	t͡ʃʰ i n ɑ s t ɑ n
չինար	t͡ʃʰ i n ɑ ɾ
չինարի	t͡ʃʰ i n ɑ ɾ i
չինացի	t͡ʃʰ i n ɑ t͡sʰ i
չինգաչունգ	t ʃʰ i n ɡ ɑ t ʃʰ u n ɡ
չիր	t͡ʃʰ i ɾ
չիք	t ʃʰ i kʰ
չնայած	t͡ʃʰ ə n ɑ j ɑ t͡s
չոր	t͡ʃʰ o ɾ
չորացնել	t ʃʰ o ɾ ɑ t sʰ n ɛ l
չորս	t͡ʃʰ ɔ ɾ s
չվերթ	t ʃ ə v ɛ ɾ tʰ
պալատական	p ɑ l ɑ t ɑ k ɑ n
պակասել	p ɑ k ɑ s ɛ l
պակասուրդ	p ɑ k ɑ s u ɾ tʰ
պահ	p ɑ h
պահանջ	p ɑ h ɑ n d͡ʒ
պահանջարկ	p ɑ h ɑ n d͡ʒ ɑ ɾ k
պահանջել	p ɑ h ɑ n d͡ʒ ɛ l
պահել	p ɑ h ɛ l
պահեստ	p ɑ h ɛ s t
պահպանողական	p ɑ h p ɑ n ɔ ʁ ɑ k ɑ n
պահք	p ɑ h kʰ
պաղպաղակ	p ɑ χ p ɑ ʁ ɑ k
պայթել	p ɑ j tʰ ɛ l
պայթյուն	p ɑ j tʰ j u n
պայծառ	p ɑ j t͡s ɑ r
պայմանավորել	p ɑ j m ɑ n ɑ v ɔ ɾ ɛ l
պայմանավորվածություն	p ɑ j m ɑ n ɑ v ɔ ɾ v ɑ t͡s u tʰ j u n
պայմանավորվել	p ɑ j m ɑ n ɑ v ɔ ɾ v ɛ l
պայքար	p ɑ j kʰ ɑ ɾ
պանթեոն	p ɑ n tʰ ɛ o n
պանիր	p ɑ n i ɾ
պաշար	p ɑ ʃ ɑ ɾ
պաշտել	p ɑ ʃ t ɛ l
պաշտոն	p ɑ ʃ t ɔ n
պաշտոնակից	p ɑ ʃ t ɔ n ɑ k i t͡sʰ
պաշտոնյա	p ɑ ʃ t o n j ɑ
պապ	p ɑ p
պապա	p ɑ p ɑ
պապական	p ɑ p ɑ k ɑ n
պապի	p ɑ p i
պապիկ	p ɑ p i k
պառլամենտ	p ɑ r l ɑ m ɛ n t
պառկել	p ɑ r k ɛ l
պաստառ	p ɑ s t ɑ r
պատահար	p ɑ t ɑ h ɑ ɾ
պատահել	p ɑ t ɑ h ɛ l
